feature,importance_home,importance_away,importance_avg
elo_diff_weight,0.0005370193540434579,0.000598218028277033,35.822254213520736
home_elo_pre,0.0007181746987316884,8.361886719875249e-05,25.300481989780867
away_elo_pre,0.0004103548006830262,0.00012815167678997716,16.992495342458312
elo_diff,0.0003078198980466142,0.00021177054398872685,16.39560253333074
elo_diff_neutral,0.00011178140790582102,5.866681923747372e-05,5.378469576548247
elo_diff_sq,7.424017366562803e-07,5.055617767017078e-07,0.03937931125323675
elo_ratio,1.0227446447802257e-06,1.1613249636534182e-07,0.035937106285817096
elo_product,5.487339100921039e-07,9.74158070621563e-09,0.017622614719139226
tournament_weight,3.8448019932283787e-07,1.2820645015232467e-08,0.012536771662710158
neutral,4.3802525926392684e-08,1.2164079397986888e-07,0.005220540440182406
